County,Year,Gender,Level,Enrollment
Turkana,2012,female,secondary,3104
Elgeyo Marakwet,2019,female,secondary,2454
Kajiado,2010,male,primary,8996
Tana River,2021,male,secondary,2731
Wajir,2020,male,secondary,8154
Makueni,2017,female,primary,9762
Samburu,2010,female,primary,5056
Isiolo,2012,female,secondary,8110
Kirinyaga,2012,female,secondary,3840
Meru,2013,male,primary,1028
Laikipia,2010,male,secondary,7385
Taita Taveta,2016,male,secondary,502
Isiolo,2017,male,primary,9062
Laikipia,2014,male,secondary,6938
Nyeri,2014,female,primary,4488
Mombasa,2013,male,primary,206
Bungoma,2012,female,primary,5134
Kericho,2010,male,primary,5977
Bungoma,2019,male,secondary,7721
Kajiado,2017,male,secondary,7035
Tharaka-Nithi,2020,female,secondary,1484
Murang'a,2011,male,primary,7858
Nakuru,2018,male,primary,863
Kitui,2015,female,primary,2790
Kisumu,2014,female,secondary,7408
Trans Nzoia,2020,male,primary,8755
Lamu,2018,female,secondary,5116
Nyeri,2016,female,secondary,6019
Marsabit,2022,female,secondary,1757
Kilifi,2018,female,primary,7574
Tana River,2013,female,secondary,6374
Uasin Gishu,2019,male,primary,6892
Homa Bay,2021,male,secondary,1678
Kericho,2012,male,primary,3242
Laikipia,2011,female,secondary,4636
Tharaka-Nithi,2012,female,secondary,1059
Wajir,2018,male,primary,6668
Kilifi,2018,male,primary,9914
Embu,2012,female,secondary,3157
Busia,2015,female,primary,5915
Nyeri,2018,male,primary,9789
Turkana,2013,female,secondary,2693
Marsabit,2011,female,primary,3627
Machakos,2013,female,secondary,9555
Embu,2020,female,primary,5450
Narok,2017,female,secondary,1663
Uasin Gishu,2013,female,primary,9721
Tana River,2017,male,primary,5592
Kakamega,2021,female,primary,7392
Migori,2020,male,primary,1306
West Pokot,2021,female,secondary,6776
Machakos,2020,female,primary,5864
Elgeyo Marakwet,2010,male,secondary,9474
Kakamega,2012,female,primary,7526
Lamu,2011,female,secondary,8901
Homa Bay,2014,male,primary,5575
Makueni,2013,male,secondary,4413
Kisumu,2015,male,secondary,3748
Marsabit,2013,female,secondary,663
Nyandarua,2017,female,secondary,1998
Uasin Gishu,2019,female,primary,7994
West Pokot,2010,male,secondary,1495
Kiambu,2011,female,secondary,3304
Nairobi,2017,female,secondary,3763
Narok,2020,female,primary,5232
Siaya,2015,male,secondary,1853
Lamu,2019,male,secondary,6585
Makueni,2019,male,secondary,1291
Machakos,2020,female,primary,3581
Garissa,2012,male,primary,7280
Kirinyaga,2021,female,secondary,1636
Kirinyaga,2011,male,secondary,3696
Mandera,2015,male,secondary,698
Machakos,2017,female,secondary,4737
Migori,2012,male,primary,8164
Machakos,2018,female,primary,5855
Vihiga,2014,male,primary,7392
Kitui,2011,female,secondary,6528
Wajir,2015,female,secondary,5172
Mandera,2014,female,primary,5791
Marsabit,2019,male,secondary,9925
Kakamega,2012,female,secondary,5535
Kakamega,2015,male,primary,4931
Tharaka-Nithi,2018,female,primary,3510
Migori,2019,female,primary,202
Bungoma,2012,female,primary,4218
Samburu,2012,female,secondary,8958
Wajir,2019,female,secondary,4389
Mombasa,2012,female,primary,2327
Bungoma,2018,female,secondary,8004
Isiolo,2021,male,primary,2931
Samburu,2017,male,primary,7777
 ,2011,female,primary,197
Meru,2021,female,secondary,7125
Kisumu,2014,female,secondary,1930
Taita Taveta,2022,male,secondary,6287
Kitui,2015,male,secondary,8800
Kisumu,2012,female,secondary,9339
Nairobi,2021,male,secondary,4282
Nyeri,2013,male,primary,2511
Taita Taveta,2015,male,primary,9986
Makueni,2014,male,primary,659
Kisumu,2017,male,secondary,2811
Narok,2015,female,primary,7098
Taita Taveta,2021,male,primary,6546
Nairobi,2016,female,primary,9561
Samburu,2017,female,primary,1986
Garissa,2016,female,secondary,8338
Nyeri,2013,male,primary,2911
Nyeri,2017,female,primary,1734
Trans Nzoia,2011,female,primary,1843
Samburu,2017,female,primary,8680
Wajir,2011,male,primary,2976
Tharaka-Nithi,2019,female,primary,5759
Elgeyo Marakwet,2019,male,primary,6694
Samburu,2014,male,secondary,2385
Kiambu,2013,male,primary,4736
Kericho,2013,female,secondary,1802
Kitui,2018,female,secondary,8155
Kisumu,2010,female,primary,8120
Makueni,2022,male,secondary,5534
Kitui,2012,female,secondary,262
Laikipia,2015,male,primary,6287
Laikipia,2020,female,secondary,8815
Kakamega,2010,male,primary,9208
Tharaka-Nithi,2014,female,secondary,2049
Kisumu,2016,female,secondary,4548
Vihiga,2011,female,secondary,3108
Kilifi,2011,female,secondary,7400
Taita Taveta,2013,male,secondary,3170
Marsabit,2010,male,secondary,9874
Nyandarua,2022,female,primary,2255
Kirinyaga,2022,male,primary,1154
Elgeyo Marakwet,2011,male,secondary,4499
Machakos,2012,female,primary,6295
Kilifi,2010,female,secondary,6197
Mombasa,2012,male,secondary,9888
Kajiado,2011,female,secondary,1648
Elgeyo Marakwet,2016,male,primary,5539
Kilifi,2019,male,secondary,9637
Nairobi,2014,male,primary,4199
Nyandarua,2018,male,primary,8445
Embu,2022,male,primary,2557
Isiolo,2013,male,primary,5592
Kisumu,2011,male,secondary,98
Kericho,2018,female,primary,2200
Embu,2020,male,primary,2961
Nakuru,2013,male,secondary,4973
Tharaka-Nithi,2018,female,secondary,4433
Machakos,2011,male,secondary,2869
Kakamega,2022,male,primary,956
Uasin Gishu,2013,male,secondary,8352
Kericho,2011,male,secondary,6944
Nyandarua,2017,female,primary,4493
Migori,2014,male,primary,9492
Mombasa,2022,female,primary,4911
Nyandarua,2015,male,primary,3987
Nyeri,2022,male,primary,9719
Murang'a,2013,female,secondary,6015
Kiambu,2015,female,primary,1218
Vihiga,2017,female,primary,4496
Vihiga,2019,male,secondary,4735
Tharaka-Nithi,2016,male,primary,4555
Tharaka-Nithi,2014,female,primary,9146
Tana River,2017,male,primary,8050
Makueni,2017,female,primary,3446
Turkana,2022,female,primary,1045
Tana River,2013,female,secondary,6893
Nyeri,2021,female,secondary,1693
Tana River,2022,male,primary,3436
Machakos,2015,female,primary,5895
Isiolo,2021,male,secondary,3354
Kirinyaga,2015,female,primary,225
Bungoma,2020,female,primary,4893
Kilifi,2011,male,secondary,7022
Samburu,2018,male,primary,9151
Homa Bay,2015,female,secondary,5600
Laikipia,2019,male,secondary,7996
Nakuru,2020,male,primary,9007
Tana River,2012,female,primary,7683
Kitui,2013,male,secondary,4642
Kiambu,2018,male,primary,7679
Nyandarua,2014,female,primary,8208
Kitui,2015,female,secondary,7339
Marsabit,2021,female,secondary,9435
Taita Taveta,2018,female,primary,2205
Uasin Gishu,2018,male,secondary,1069
Garissa,2011,female,primary,3444
Homa Bay,2010,female,primary,1060
Uasin Gishu,2021,male,secondary,2327
Mombasa,2019,female,primary,3420
Nakuru,2013,female,primary,301
Murang'a,2012,female,primary,606
Uasin Gishu,2019,male,secondary,699
Lamu,2012,female,secondary,5088
Elgeyo Marakwet,2013,female,secondary,9331
Mandera,2010,male,secondary,2975
Nakuru,2015,male,primary,6102
Migori,2017,male,secondary,1184
Homa Bay,2019,male,secondary,3327
Kirinyaga,2012,male,secondary,3394
Kiambu,2016,female,secondary,8319
Kirinyaga,2010,male,secondary,1816
Tana River,2013,male,secondary,5854
Laikipia,2013,female,primary,6709
Nairobi,2015,male,secondary,569
Uasin Gishu,2010,male,primary,5442
Isiolo,2013,male,secondary,1895
Makueni,2014,female,primary,2733
Bungoma,2022,female,primary,3863
Busia,2013,female,secondary,7455
Wajir,2021,female,secondary,4014
Kericho,2012,male,primary,1686
Machakos,2017,female,secondary,3009
Nyeri,2013,female,secondary,7806
 ,2012,female,primary,154
Meru,2010,male,secondary,1409
Kirinyaga,2021,male,secondary,784
Kakamega,2015,male,secondary,8096
West Pokot,2016,male,secondary,7560
Lamu,2010,male,secondary,7343
Garissa,2020,female,primary,7206
Siaya,2013,female,secondary,5596
Kakamega,2021,male,secondary,5801
Nyandarua,2011,female,secondary,2806
Murang'a,2014,male,primary,537
Migori,2011,female,secondary,5986
Bungoma,2018,female,secondary,1841
Tharaka-Nithi,2020,female,primary,8716
Mombasa,2010,male,secondary,6971
Vihiga,2012,male,primary,5625
Narok,2017,female,secondary,2950
Tana River,2017,female,primary,7992
Meru,2018,female,secondary,4780
Nairobi,2012,male,secondary,2368
Busia,2019,female,primary,6655
Bomet,2012,female,secondary,8173
Taita Taveta,2013,male,secondary,4495
Uasin Gishu,2021,female,secondary,9163
Uasin Gishu,2022,female,primary,6002
Nyandarua,2017,male,primary,6614
Samburu,2020,male,primary,9358
Mandera,2018,female,primary,5919
Garissa,2018,male,secondary,853
Kisumu,2010,female,secondary,4146
Kisumu,2018,male,secondary,3769
Kakamega,2013,female,secondary,574
Makueni,2014,female,secondary,1148
Uasin Gishu,2018,male,secondary,6457
Nyeri,2016,male,secondary,7509
Bomet,2015,male,primary,9907
Taita Taveta,2014,female,secondary,4777
Lamu,2011,male,secondary,3854
Mandera,2014,female,primary,2491
Marsabit,2021,female,secondary,3124
Busia,2022,male,primary,5691
West Pokot,2015,female,secondary,3051
Mandera,2010,male,primary,4
 ,2012,female,primary,5222
Kirinyaga,2010,male,secondary,5315
Laikipia,2015,male,secondary,4869
 ,2018,female,secondary,876
Mombasa,2013,female,secondary,9183
Embu,2017,female,primary,7027
Machakos,2021,male,primary,4142
Vihiga,2015,female,secondary,6966
Wajir,2015,male,secondary,7079
Nyandarua,2011,male,secondary,7987
Elgeyo Marakwet,2011,male,secondary,6799
Narok,2011,female,primary,4465
Marsabit,2019,female,primary,635
Kitui,2012,male,primary,1693
Kilifi,2013,female,primary,9874
Turkana,2012,female,secondary,830
Nyeri,2021,male,secondary,5177
Tharaka-Nithi,2019,male,secondary,9561
Meru,2020,female,secondary,8932
Lamu,2010,female,primary,8308
Kisumu,2013,female,secondary,5949
Narok,2015,female,primary,2838
Machakos,2013,male,secondary,1150
Homa Bay,2021,female,primary,7560
 ,2021,female,secondary,1931
Bomet,2010,male,secondary,9204
Uasin Gishu,2013,male,primary,1664
Kiambu,2013,male,primary,1081
Siaya,2010,female,primary,512
Trans Nzoia,2020,female,primary,7805
Nyeri,2011,male,secondary,5237
West Pokot,2014,male,primary,559
Mombasa,2014,male,secondary,3672
Homa Bay,2018,male,secondary,7404
Turkana,2021,female,secondary,3343
Makueni,2016,female,secondary,4070
Machakos,2011,female,secondary,9662
Kitui,2010,male,primary,580
Elgeyo Marakwet,2021,male,primary,7004
Embu,2018,male,secondary,8130
Trans Nzoia,2011,female,secondary,3147
Nairobi,2022,male,primary,4249
West Pokot,2021,male,primary,1679
Wajir,2015,female,primary,3506
Nakuru,2016,female,primary,7253
Busia,2019,female,secondary,2744
Wajir,2011,male,secondary,9435
Makueni,2017,male,secondary,5188
Kisumu,2011,female,primary,2141
Kirinyaga,2013,female,secondary,6617
Mombasa,2013,female,primary,2479
Isiolo,2019,female,primary,6484
West Pokot,2019,female,secondary,9827
Kirinyaga,2020,male,secondary,9949
Laikipia,2017,female,secondary,4452
Turkana,2013,female,primary,5881
Murang'a,2015,female,secondary,6665
Taita Taveta,2019,female,secondary,2849
Nakuru,2012,female,secondary,7390
Kilifi,2016,female,primary,6905
Laikipia,2013,female,secondary,2489
Garissa,2019,male,primary,9823
Kitui,2020,male,primary,9207
Lamu,2011,male,primary,9540
Trans Nzoia,2012,male,primary,4611
Kitui,2010,male,secondary,2839
Makueni,2017,male,primary,8527
Wajir,2019,male,primary,5878
Kisumu,2018,male,secondary,9087
Nyandarua,2011,female,primary,6303
Nakuru,2021,male,secondary,851
Vihiga,2011,male,secondary,1687
Vihiga,2015,female,secondary,6833
Elgeyo Marakwet,2012,male,primary,2427
Meru,2011,male,secondary,9760
Laikipia,2017,male,secondary,4000
Makueni,2019,male,secondary,5052
Vihiga,2010,female,secondary,2738
Bomet,2010,male,secondary,5732
Machakos,2012,female,primary,5387
Machakos,2014,male,primary,8002
Embu,2019,male,primary,5536
Nakuru,2022,male,primary,3913
Kakamega,2021,male,primary,1066
Nakuru,2017,male,secondary,7723
Busia,2015,male,secondary,4380
Murang'a,2020,female,primary,4107
Narok,2021,male,primary,5726
Kitui,2019,female,secondary,3373
Laikipia,2011,male,secondary,8945
Makueni,2010,male,primary,2082
Homa Bay,2011,female,primary,8967
Wajir,2015,male,secondary,6748
Nairobi,2020,male,primary,9817
Busia,2014,male,primary,417
Murang'a,2021,male,secondary,8808
Makueni,2017,male,secondary,3974
Busia,2017,female,secondary,3267
Meru,2022,female,primary,825
Kisumu,2021,male,primary,7668
Laikipia,2011,female,primary,5745
Siaya,2014,female,secondary,9708
Homa Bay,2019,male,primary,412
Vihiga,2022,male,secondary,7543
Marsabit,2014,male,secondary,7587
Kilifi,2020,male,secondary,728
Samburu,2019,female,secondary,7164
Taita Taveta,2010,male,secondary,8867
Meru,2012,male,primary,5988
Vihiga,2012,male,secondary,2504
Kitui,2012,female,primary,2967
Kitui,2022,female,primary,2786
Busia,2013,male,primary,1122
Laikipia,2019,female,secondary,4079
Tana River,2013,male,primary,1571
Vihiga,2017,female,secondary,5073
Isiolo,2015,female,primary,5104
Kiambu,2019,female,primary,2143
Migori,2020,male,primary,9879
 ,2018,female,secondary,6806
Mombasa,2013,male,secondary,7357
Mandera,2018,female,secondary,3440
Nyandarua,2016,female,primary,3766
Kajiado,2018,female,primary,5644
Nairobi,2014,male,primary,2914
Kirinyaga,2022,male,primary,4968
Kirinyaga,2021,female,primary,5917
Kericho,2011,male,primary,8787
Embu,2013,male,primary,1365
Nairobi,2015,female,secondary,4492
Vihiga,2020,female,primary,698
Elgeyo Marakwet,2022,male,primary,395
Samburu,2013,female,secondary,7400
Machakos,2021,male,primary,8082
Garissa,2017,male,primary,4171
Marsabit,2013,female,secondary,4360
Taita Taveta,2019,male,primary,2502
Kajiado,2021,female,secondary,717
Kilifi,2011,male,secondary,2782
Kitui,2012,male,primary,4946
Mandera,2019,male,secondary,5486
Murang'a,2011,male,primary,8335
Kericho,2013,male,primary,4980
Elgeyo Marakwet,2017,male,primary,7266
Isiolo,2019,male,secondary,4491
Nyandarua,2012,male,secondary,5588
Murang'a,2010,female,secondary,7651
West Pokot,2021,female,primary,3636
Embu,2016,male,secondary,1167
Taita Taveta,2016,male,primary,1062
Kitui,2013,male,primary,2156
Lamu,2015,female,primary,7860
Kajiado,2016,female,primary,5161
Siaya,2018,male,secondary,5305
Kirinyaga,2021,female,primary,6541
Makueni,2015,male,primary,4729
Bungoma,2018,male,primary,9348
Tana River,2016,male,primary,7330
Narok,2021,male,primary,5334
Bomet,2011,female,primary,8924
Laikipia,2019,female,secondary,4330
Murang'a,2010,male,secondary,8010
Tharaka-Nithi,2018,female,primary,6801
Siaya,2012,female,secondary,4846
Taita Taveta,2020,female,primary,6731
Kajiado,2014,female,primary,7241
West Pokot,2012,female,secondary,953
Murang'a,2011,male,primary,2539
Makueni,2012,male,primary,7056
Embu,2011,male,secondary,1542
Nyeri,2021,male,primary,5293
Migori,2017,female,primary,1191
Vihiga,2015,male,secondary,6313
Tharaka-Nithi,2019,female,secondary,6938
Kisumu,2016,female,secondary,2681
Murang'a,2014,female,primary,9409
Bungoma,2018,male,secondary,1540
Kiambu,2022,female,secondary,6172
Meru,2017,male,secondary,5541
Kilifi,2012,female,secondary,9580
Kilifi,2010,female,primary,1365
Kirinyaga,2015,female,primary,8691
Bomet,2021,male,primary,9872
Kilifi,2015,male,primary,8702
Isiolo,2022,female,primary,7494
Wajir,2019,female,primary,1324
Laikipia,2012,female,secondary,9347
Garissa,2017,male,secondary,3141
Tana River,2014,female,primary,7419
Wajir,2021,female,secondary,3486
Tana River,2015,female,primary,1810
Marsabit,2018,male,primary,6588
West Pokot,2018,female,primary,2923
Embu,2011,male,primary,5301
Homa Bay,2017,male,secondary,4186
Uasin Gishu,2012,male,primary,8905
Meru,2018,male,primary,5977
West Pokot,2021,female,primary,4748
Kisumu,2012,male,secondary,4849
Samburu,2010,female,secondary,9435
Nakuru,2019,female,secondary,3709
Marsabit,2011,female,primary,9273
Uasin Gishu,2019,female,secondary,6619
Bungoma,2018,male,secondary,8647
Embu,2020,male,primary,9576
Machakos,2012,female,primary,3072
Garissa,2017,male,primary,6530
Elgeyo Marakwet,2014,male,primary,504
Mandera,2022,male,primary,1214
Mombasa,2018,female,primary,1531
Busia,2016,male,secondary,7576
Machakos,2011,male,secondary,823
Siaya,2013,female,secondary,928
Kilifi,2018,male,secondary,5029
West Pokot,2017,female,primary,133
Kakamega,2013,female,primary,3627
Nyeri,2011,male,primary,6316
Siaya,2015,male,primary,1852
Nairobi,2015,female,primary,4910
Taita Taveta,2015,female,primary,4175
Lamu,2011,male,secondary,5348
Nairobi,2022,female,primary,9442
Kiambu,2021,male,primary,6190
Nyeri,2021,female,secondary,3376
Siaya,2020,male,secondary,5645
Siaya,2022,female,primary,3486
Isiolo,2020,female,primary,3584
Bungoma,2011,female,primary,9588
Nyeri,2011,female,secondary,8053
Nakuru,2020,male,secondary,3330
Wajir,2017,female,primary,2703
Uasin Gishu,2011,female,primary,8120
Siaya,2022,male,secondary,7114
Siaya,2012,female,primary,1353
Lamu,2016,male,primary,5063
Narok,2011,female,primary,8549
Narok,2011,female,primary,7575
Tharaka-Nithi,2012,female,secondary,667
Tharaka-Nithi,2013,male,primary,4468
Mombasa,2010,female,primary,9337
Embu,2011,female,primary,6819
Kitui,2020,female,secondary,3719
Nyandarua,2017,female,secondary,7483
Taita Taveta,2013,female,secondary,539
Siaya,2011,female,primary,4964
Wajir,2020,female,primary,4835
Bomet,2022,male,primary,3775
Kiambu,2021,male,secondary,6042
Nyandarua,2022,female,primary,7102
Narok,2011,male,primary,7312
Mombasa,2022,female,secondary,5320
Lamu,2018,male,primary,6132
Bomet,2010,female,primary,7891
Nakuru,2019,male,primary,2779
Wajir,2018,female,secondary,924
Busia,2021,female,primary,1581
Kirinyaga,2017,male,secondary,7714
Tana River,2018,female,secondary,3324
Elgeyo Marakwet,2021,female,primary,5713
Embu,2021,female,primary,7026
Uasin Gishu,2021,female,primary,255
Bungoma,2017,male,primary,4804
Busia,2012,female,secondary,1838
Bungoma,2010,female,primary,9
Migori,2012,female,secondary,2871
Kilifi,2015,male,primary,8989
Nyandarua,2022,male,secondary,7409
Kirinyaga,2013,male,secondary,7418
Elgeyo Marakwet,2012,female,primary,5124
Tana River,2014,female,secondary,1015
Vihiga,2014,female,primary,2193
Garissa,2015,female,primary,8415
Isiolo,2016,female,secondary,7449
Samburu,2012,female,secondary,3925
Lamu,2017,female,primary,6970
Kiambu,2017,female,secondary,6938
Kisumu,2016,female,secondary,4784
Tharaka-Nithi,2016,female,secondary,4000
Murang'a,2013,male,secondary,1633
Kajiado,2019,male,primary,7266
Meru,2017,female,primary,8702
Nyeri,2022,female,primary,384
Busia,2021,female,secondary,404
Trans Nzoia,2016,female,primary,8175
Embu,2018,male,primary,2000
Isiolo,2015,female,secondary,9860
Embu,2011,female,primary,5989
Uasin Gishu,2020,male,secondary,1460
Homa Bay,2010,female,secondary,7190
Vihiga,2010,male,primary,7140
Makueni,2019,male,primary,3636
Machakos,2022,female,primary,4809
Nairobi,2017,female,secondary,6600
Meru,2011,male,secondary,5997
Elgeyo Marakwet,2014,female,primary,2048
 ,2011,male,primary,4780
Garissa,2017,male,primary,716
Homa Bay,2019,female,secondary,7939
Kajiado,2012,female,primary,5565
Kilifi,2016,male,primary,4544
Siaya,2017,female,secondary,4976
Bomet,2011,female,primary,3419
Nyeri,2013,female,primary,7239
Wajir,2017,male,secondary,9766
Vihiga,2015,female,secondary,249
Kiambu,2022,male,secondary,8865
Busia,2011,male,secondary,770
Trans Nzoia,2020,female,secondary,4363
Trans Nzoia,2019,male,secondary,1077
Siaya,2015,male,secondary,8427
Narok,2022,female,secondary,8580
Kisumu,2013,female,secondary,7901
Isiolo,2011,female,primary,4858
Nakuru,2018,male,primary,6544
Bungoma,2019,female,primary,4719
Kajiado,2012,male,primary,2814
Embu,2017,female,secondary,3374
Kisumu,2017,male,primary,1252
Machakos,2021,female,primary,6996
Nyeri,2022,male,primary,4673
Nairobi,2014,male,secondary,6881
Bomet,2015,female,secondary,6949
Kericho,2010,male,secondary,9521
Marsabit,2022,female,secondary,6241
Mombasa,2016,female,secondary,8017
Marsabit,2022,female,primary,7002
Garissa,2020,male,primary,1331
Nakuru,2013,female,primary,4261
Machakos,2013,female,primary,7648
Narok,2018,male,primary,9550
Tana River,2017,male,secondary,5115
Garissa,2020,female,primary,4854
Meru,2019,male,primary,3177
Bungoma,2019,female,primary,7730
Tana River,2020,male,primary,4892
Trans Nzoia,2012,male,secondary,7043
Taita Taveta,2018,male,primary,137
Nakuru,2016,male,primary,6327
 ,2018,female,primary,3472
Busia,2022,female,secondary,5449
Murang'a,2021,male,primary,3579
Homa Bay,2016,male,secondary,5971
Nakuru,2019,male,primary,4164
Busia,2010,male,primary,7941
Migori,2014,male,primary,5569
Murang'a,2021,female,primary,4300
Kajiado,2015,male,secondary,6269
Busia,2012,female,primary,3818
Nyeri,2011,male,secondary,1906
Siaya,2018,female,secondary,760
Kilifi,2014,male,secondary,7830
Tana River,2016,male,primary,7350
Migori,2019,male,primary,6238
Elgeyo Marakwet,2018,male,primary,6090
Kisumu,2012,male,secondary,6031
Kisumu,2020,female,secondary,7687
Machakos,2014,male,secondary,9091
Kilifi,2014,female,secondary,9911
Kirinyaga,2014,female,primary,8472
Narok,2010,female,primary,3266
Bomet,2015,female,secondary,666
Nyeri,2013,male,secondary,4188
West Pokot,2022,female,primary,671
Wajir,2014,male,primary,6777
Mandera,2018,male,secondary,7570
Marsabit,2020,female,primary,7956
Garissa,2018,female,secondary,5124
Taita Taveta,2017,female,primary,5585
Mombasa,2016,male,primary,4777
Nairobi,2018,female,primary,3900
Kitui,2013,female,primary,6677
Embu,2012,male,secondary,6981
Kericho,2019,female,secondary,6376
Busia,2015,female,secondary,523
Kitui,2015,male,secondary,2393
Mandera,2011,female,primary,2593
Marsabit,2012,male,secondary,9945
Nyeri,2012,male,primary,7240
Bomet,2010,female,secondary,6937
Meru,2015,female,secondary,6190
Kisumu,2016,male,primary,5240
Bomet,2016,male,primary,6493
Kirinyaga,2010,female,primary,2878
Migori,2015,male,primary,4143
Kisumu,2022,female,secondary,3644
Machakos,2019,female,primary,4432
Vihiga,2015,female,primary,5811
Lamu,2015,male,secondary,302
Lamu,2010,male,primary,638
Lamu,2011,male,primary,55
Mandera,2016,male,secondary,8717
Turkana,2015,male,secondary,8150
Kericho,2022,female,secondary,2125
Samburu,2018,male,secondary,364
Kisumu,2017,male,secondary,6809
Nairobi,2018,female,secondary,4621
Nyeri,2020,female,secondary,5126
Laikipia,2015,female,secondary,5122
Kericho,2015,male,primary,1646
Nyandarua,2012,female,primary,918
Bungoma,2017,female,primary,2797
Bomet,2017,male,primary,6506
Wajir,2014,male,secondary,5870
Taita Taveta,2016,male,primary,1531
Kakamega,2011,female,secondary,8172
Kakamega,2010,male,secondary,3345
West Pokot,2021,male,primary,7673
Mombasa,2015,male,secondary,6949
Nairobi,2021,female,secondary,6882
Turkana,2014,male,secondary,1906
Embu,2012,male,primary,3086
Homa Bay,2012,female,primary,8152
Kericho,2015,female,secondary,5750
Narok,2019,male,secondary,8905
Lamu,2017,female,primary,1062
Vihiga,2019,male,primary,1976
Isiolo,2014,female,primary,1296
Kericho,2014,male,secondary,6229
Nyandarua,2012,male,primary,7641
Nairobi,2014,female,primary,125
 ,2015,male,primary,4632
Nakuru,2013,female,secondary,6288
Wajir,2014,male,secondary,3596
Narok,2015,male,secondary,6168
Marsabit,2011,male,secondary,9795
Bungoma,2018,male,primary,7561
Kirinyaga,2012,male,primary,8258
Kericho,2011,male,primary,232
Nyeri,2013,female,primary,9361
Migori,2016,male,secondary,6371
Garissa,2022,male,primary,4206
Nyandarua,2012,female,primary,9685
Mandera,2011,male,primary,6891
Tharaka-Nithi,2014,female,primary,6738
Nyandarua,2014,male,secondary,2472
Vihiga,2010,male,secondary,2739
Kakamega,2010,female,secondary,5401
Kiambu,2019,female,secondary,1761
Elgeyo Marakwet,2013,female,primary,876
Nairobi,2012,female,primary,3812
Nyandarua,2019,male,primary,9504
Lamu,2022,male,secondary,1460
Wajir,2017,male,secondary,1733
Narok,2017,male,secondary,1605
Tharaka-Nithi,2016,female,secondary,5622
