County,Year,Gender,Level,Enrollment
Taita Taveta,2015,Male,primary,9986.0
Makueni,2014,M,P,659.0
Kisumu,2017,Male,Secondary,2811.0
Narok,2015,Female,Primary,7098.0
Taita Taveta,2021,male,Primary,6546.0
Nairobi,2016,F,primary,9561.0
Samburu,2017,F,Primary,1986.0
Garissa,2016,F,S,8338.0
Nyeri,2013,male,Primary,2911.0
Nyeri,2017,F,Primary,1734.0
Trans Nzoia,2011,F,primary,1843.0
Samburu,2017,FEMALE,Primary,8680.0
Wajir,2011,male,P,2976.0
Kirinyaga,2012,male,Primary,
Tharaka-Nithi,2019,F,Primary,5759.0
Elgeyo Marakwet,2019,male,P,6694.0
Samburu,2014,M,S,2385.0
Kiambu,2013,M,P,4736.0
Kericho,2013,F,Secondary,1802.0
Kitui,2018,Female,Secondary,8155.0
Kisumu,2010,FEMALE,Primary,8120.0
Kericho,2012,M,P,
Makueni,2022,male,S,5534.0
Kisumu,2014,male,Secondary,
Kitui,2012,Female,S,262.0
Laikipia,2015,male,primary,6287.0
Laikipia,2020,F,S,8815.0
Kakamega,2010,M,primary,9208.0
Tharaka-Nithi,2014,Female,S,2049.0
Nairobi,2012,F,Secondary,
Kisumu,2016,FEMALE,S,4548.0
Vihiga,2011,Female,Secondary,3108.0
Mombasa,2015,Male,Secondary,
Kilifi,2011,Female,Secondary,7400.0
Taita Taveta,2013,Male,S,3170.0
Marsabit,2010,M,Secondary,9874.0
Nyandarua,2022,F,P,2255.0
Kirinyaga,2022,Male,Primary,1154.0
Elgeyo Marakwet,2011,male,SECONDARY,4499.0
Machakos,2012,FEMALE,P,6295.0
Kilifi,2010,F,SECONDARY,6197.0
Mombasa,2012,Male,SECONDARY,9888.0
Kajiado,2011,FEMALE,Secondary,1648.0
Elgeyo Marakwet,2016,male,primary,5539.0
Kilifi,2019,M,SECONDARY,9637.0
Nairobi,2014,male,primary,4199.0
Nyandarua,2018,M,Primary,8445.0
Embu,2022,male,P,2557.0
Isiolo,2013,male,P,5592.0
Kisumu,2011,M,SECONDARY,98.0
Kericho,2018,FEMALE,P,2200.0
Embu,2020,Male,primary,2961.0
Nakuru,2013,M,Secondary,4973.0
Tharaka-Nithi,2018,FEMALE,Secondary,4433.0
Machakos,2011,male,Secondary,2869.0
Kakamega,2022,Male,P,956.0
Uasin Gishu,2013,Male,Secondary,8352.0
Nairobi,2014,male,Primary,
Kericho,2011,Male,S,6944.0
Nyandarua,2017,FEMALE,Primary,4493.0
Migori,2014,male,Primary,9492.0
Mombasa,2022,Female,primary,4911.0
Nyandarua,2015,M,Primary,3987.0
Nyeri,2022,Male,Primary,9719.0
Murang'a,2013,F,S,6015.0
Kiambu,2015,Female,P,1218.0
Vihiga,2017,Female,Primary,4496.0
Vihiga,2019,M,SECONDARY,4735.0
Tharaka-Nithi,2016,male,P,4555.0
Tharaka-Nithi,2014,F,P,9146.0
Tana River,2017,Male,P,8050.0
Makueni,2017,F,Primary,3446.0
Turkana,2022,FEMALE,P,1045.0
Tana River,2013,FEMALE,S,6893.0
Nyeri,2021,F,Secondary,1693.0
Tana River,2022,Male,P,3436.0
Busia,2012,Female,Primary,
Machakos,2015,F,primary,5895.0
Isiolo,2021,Male,SECONDARY,3354.0
Kirinyaga,2015,Female,Primary,225.0
Bungoma,2020,F,P,4893.0
Kilifi,2011,M,S,7022.0
Samburu,2018,Male,Primary,9151.0
Homa Bay,2015,FEMALE,S,5600.0
Laikipia,2019,male,Secondary,7996.0
Nakuru,2020,M,P,9007.0
Tana River,2012,FEMALE,P,7683.0
Kitui,2013,M,S,4642.0
Kiambu,2018,male,Primary,7679.0
Nyandarua,2014,Female,primary,8208.0
Kitui,2015,F,SECONDARY,7339.0
Marsabit,2021,Female,S,9435.0
Taita Taveta,2018,Female,Primary,2205.0
Uasin Gishu,2018,Male,S,1069.0
Garissa,2011,F,P,3444.0
Homa Bay,2010,FEMALE,P,1060.0
Uasin Gishu,2021,Male,Secondary,2327.0
Mombasa,2019,FEMALE,P,3420.0
Nakuru,2013,F,primary,301.0
Murang'a,2012,F,P,606.0
Trans Nzoia,2022,M,primary,
Uasin Gishu,2019,Male,S,699.0
Lamu,2012,F,S,5088.0
Elgeyo Marakwet,2013,F,Secondary,9331.0
Lamu,2019,F,Primary,
Trans Nzoia,2015,FEMALE,primary,
Mandera,2010,M,Secondary,2975.0
Nakuru,2015,M,primary,6102.0
Migori,2017,male,SECONDARY,1184.0
Homa Bay,2019,Male,SECONDARY,3327.0
Kirinyaga,2012,Male,SECONDARY,3394.0
Kiambu,2016,FEMALE,Secondary,8319.0
Kirinyaga,2010,male,Secondary,1816.0
Tana River,2013,Male,SECONDARY,5854.0
Laikipia,2013,FEMALE,Primary,6709.0
Nairobi,2015,M,Secondary,569.0
Uasin Gishu,2010,male,primary,5442.0
Isiolo,2013,male,Secondary,1895.0
Makueni,2014,Female,primary,2733.0
Bungoma,2022,F,Primary,3863.0
Busia,2013,F,S,7455.0
Wajir,2021,F,S,4014.0
Kericho,2012,Male,Primary,1686.0
Machakos,2017,F,Secondary,3009.0
Nyeri,2013,Female,Secondary,7806.0
 ,2012,F,P,154.0
Meru,2010,male,SECONDARY,1409.0
Kirinyaga,2021,Male,S,784.0
Kakamega,2015,male,S,8096.0
West Pokot,2016,Male,Secondary,7560.0
Lamu,2010,M,Secondary,7343.0
Garissa,2020,FEMALE,P,7206.0
Siaya,2013,FEMALE,SECONDARY,5596.0
Kakamega,2021,male,Secondary,5801.0
Nyandarua,2011,F,S,2806.0
Murang'a,2014,M,P,537.0
Migori,2011,F,S,5986.0
Bungoma,2018,FEMALE,Secondary,1841.0
Tharaka-Nithi,2020,Female,primary,8716.0
Mombasa,2010,M,S,6971.0
Vihiga,2012,M,Primary,5625.0
Narok,2017,FEMALE,S,2950.0
Tana River,2017,FEMALE,Primary,7992.0
Meru,2018,Female,SECONDARY,4780.0
Nairobi,2012,male,S,2368.0
Busia,2019,F,primary,6655.0
Bomet,2012,Female,S,8173.0
Taita Taveta,2013,Male,Secondary,4495.0
Uasin Gishu,2021,F,S,9163.0
Uasin Gishu,2022,Female,Primary,6002.0
Nyandarua,2017,Male,Primary,6614.0
Samburu,2020,Male,Primary,9358.0
Mandera,2018,FEMALE,primary,5919.0
Garissa,2018,Male,S,853.0
Kisumu,2010,FEMALE,Secondary,4146.0
Kisumu,2018,male,S,3769.0
Kakamega,2013,FEMALE,Secondary,574.0
Makueni,2014,FEMALE,Secondary,1148.0
Laikipia,2014,Female,S,
Uasin Gishu,2018,male,SECONDARY,6457.0
Nyeri,2016,male,SECONDARY,7509.0
Bomet,2015,Male,primary,9907.0
Taita Taveta,2014,FEMALE,Secondary,4777.0
Lamu,2011,male,S,3854.0
Mandera,2014,F,P,2491.0
Marsabit,2021,Female,SECONDARY,3124.0
Busia,2022,male,primary,5691.0
West Pokot,2015,FEMALE,S,3051.0
Mandera,2010,male,Primary,4.0
 ,2012,Female,primary,5222.0
Kirinyaga,2010,male,SECONDARY,5315.0
Laikipia,2015,male,SECONDARY,4869.0
 ,2018,F,SECONDARY,876.0
Mombasa,2013,FEMALE,S,9183.0
Embu,2017,Female,Primary,7027.0
Machakos,2021,M,Primary,4142.0
Vihiga,2015,F,Secondary,6966.0
Wajir,2015,M,Secondary,7079.0
Nyandarua,2011,Male,Secondary,7987.0
Elgeyo Marakwet,2011,Male,Secondary,6799.0
Narok,2011,FEMALE,primary,4465.0
Marsabit,2019,F,primary,635.0
Kitui,2012,Male,primary,1693.0
Kilifi,2013,Female,primary,9874.0
Migori,2020,male,Primary,
Siaya,2013,F,S,
Turkana,2012,FEMALE,S,830.0
Nyeri,2021,M,Secondary,5177.0
Tharaka-Nithi,2019,male,SECONDARY,9561.0
Meru,2020,F,SECONDARY,8932.0
Lamu,2010,F,Primary,8308.0
Kisumu,2013,FEMALE,SECONDARY,5949.0
Narok,2015,FEMALE,P,2838.0
Machakos,2013,Male,S,1150.0
Homa Bay,2021,FEMALE,primary,7560.0
 ,2021,F,Secondary,1931.0
Bomet,2010,M,Secondary,9204.0
Uasin Gishu,2013,male,Primary,1664.0
Kiambu,2013,Male,P,1081.0
Siaya,2010,Female,P,512.0
Trans Nzoia,2020,F,Primary,7805.0
Nyeri,2011,male,S,5237.0
West Pokot,2014,Male,Primary,559.0
Mombasa,2014,Male,S,3672.0
Homa Bay,2018,male,SECONDARY,7404.0
Turkana,2021,Female,Secondary,3343.0
Makueni,2016,FEMALE,SECONDARY,4070.0
Machakos,2011,FEMALE,S,9662.0
Kitui,2010,male,P,580.0
Elgeyo Marakwet,2021,male,P,7004.0
Embu,2018,M,S,8130.0
Trans Nzoia,2011,Female,S,3147.0
Nairobi,2022,Male,P,4249.0
West Pokot,2021,male,Primary,1679.0
Wajir,2015,Female,primary,3506.0
Nakuru,2016,FEMALE,P,7253.0
Busia,2019,FEMALE,Secondary,2744.0
Wajir,2011,Male,SECONDARY,9435.0
Makueni,2017,Male,Secondary,5188.0
Kisumu,2011,F,Primary,2141.0
Kirinyaga,2013,Female,S,6617.0
Mombasa,2013,Female,P,2479.0
Isiolo,2019,F,primary,6484.0
West Pokot,2019,Female,S,9827.0
Nakuru,2016,FEMALE,Primary,
Kirinyaga,2020,Male,SECONDARY,9949.0
Laikipia,2017,FEMALE,Secondary,4452.0
Turkana,2013,FEMALE,P,5881.0
Murang'a,2015,Female,Secondary,6665.0
Taita Taveta,2019,F,SECONDARY,2849.0
Nakuru,2012,F,S,7390.0
Kilifi,2016,F,primary,6905.0
Laikipia,2013,F,S,2489.0
Garissa,2019,M,primary,9823.0
Kitui,2020,male,primary,9207.0
Lamu,2011,Male,primary,9540.0
Trans Nzoia,2012,Male,P,4611.0
Kitui,2010,M,Secondary,2839.0
Makueni,2017,male,primary,8527.0
Wajir,2019,Male,primary,5878.0
Kisumu,2018,male,S,9087.0
Nyandarua,2011,FEMALE,Primary,6303.0
Nakuru,2021,Male,S,851.0
Vihiga,2011,Male,Secondary,1687.0
Vihiga,2015,Female,Secondary,6833.0
Elgeyo Marakwet,2012,male,P,2427.0
Meru,2011,M,SECONDARY,9760.0
Laikipia,2017,M,Secondary,4000.0
Makueni,2019,Male,S,5052.0
Vihiga,2010,FEMALE,SECONDARY,2738.0
Bomet,2010,Male,SECONDARY,5732.0
Machakos,2012,Female,Primary,5387.0
Machakos,2014,Male,Primary,8002.0
Embu,2019,Male,primary,5536.0
Nakuru,2022,male,P,3913.0
Kakamega,2021,Male,P,1066.0
Nakuru,2017,M,S,7723.0
Busia,2015,male,SECONDARY,4380.0
Murang'a,2020,F,P,4107.0
Narok,2021,Male,Primary,5726.0
Kitui,2019,Female,Secondary,3373.0
Laikipia,2011,Male,SECONDARY,8945.0
Makueni,2010,male,primary,2082.0
Homa Bay,2011,FEMALE,P,8967.0
Wajir,2015,male,SECONDARY,6748.0
Nairobi,2020,male,primary,9817.0
Busia,2014,M,P,417.0
Meru,2017,Male,SECONDARY,
Murang'a,2021,M,SECONDARY,8808.0
Makueni,2017,M,SECONDARY,3974.0
Busia,2017,FEMALE,S,3267.0
Meru,2022,Female,P,825.0
Kisumu,2021,male,Primary,7668.0
Laikipia,2011,F,P,5745.0
Siaya,2014,FEMALE,Secondary,9708.0
Homa Bay,2019,M,Primary,412.0
Vihiga,2022,M,S,7543.0
Marsabit,2014,M,Secondary,7587.0
Kilifi,2020,M,S,728.0
Samburu,2019,FEMALE,Secondary,7164.0
Taita Taveta,2010,Male,Secondary,8867.0
Meru,2012,Male,Primary,5988.0
Vihiga,2012,male,S,2504.0
Kitui,2012,FEMALE,primary,2967.0
Kitui,2022,Female,Primary,2786.0
Busia,2013,male,primary,1122.0
Laikipia,2019,FEMALE,Secondary,4079.0
Tana River,2013,Male,primary,1571.0
Vihiga,2017,Female,SECONDARY,5073.0
Isiolo,2015,Female,P,5104.0
Kiambu,2019,F,P,2143.0
Migori,2020,M,P,9879.0
 ,2018,Female,Secondary,6806.0
Mombasa,2013,M,Secondary,7357.0
Mandera,2018,FEMALE,Secondary,3440.0
Nyandarua,2016,F,primary,3766.0
Kajiado,2018,F,primary,5644.0
Nairobi,2014,male,P,2914.0
Kirinyaga,2022,M,Primary,4968.0
Kirinyaga,2021,F,primary,5917.0
Kericho,2011,Male,primary,8787.0
Kiambu,2017,Female,Secondary,
Embu,2013,M,P,1365.0
Nairobi,2015,Female,S,4492.0
Vihiga,2020,Female,P,698.0
Migori,2017,male,Primary,
Elgeyo Marakwet,2022,M,primary,395.0
Samburu,2013,F,S,7400.0
Machakos,2021,M,Primary,8082.0
Garissa,2017,Male,primary,4171.0
Marsabit,2013,Female,S,4360.0
Taita Taveta,2019,M,Primary,2502.0
Kajiado,2021,Female,SECONDARY,717.0
Kilifi,2011,M,Secondary,2782.0
Kitui,2012,male,P,4946.0
Mandera,2019,M,S,5486.0
Murang'a,2011,M,primary,8335.0
Kericho,2013,M,Primary,4980.0
Elgeyo Marakwet,2017,M,Primary,7266.0
Isiolo,2019,Male,Secondary,4491.0
Nyeri,2015,M,primary,
Nyandarua,2012,M,S,5588.0
Murang'a,2010,F,S,7651.0
West Pokot,2021,Female,P,3636.0
Embu,2016,M,SECONDARY,1167.0
Taita Taveta,2016,male,primary,1062.0
Kitui,2013,Male,P,2156.0
Lamu,2015,F,P,7860.0
Kajiado,2016,Female,primary,5161.0
Siaya,2018,male,Secondary,5305.0
Kirinyaga,2021,FEMALE,Primary,6541.0
Makueni,2015,male,primary,4729.0
Bungoma,2018,Male,Primary,9348.0
Tana River,2016,M,P,7330.0
Narok,2021,male,P,5334.0
Bomet,2011,FEMALE,P,8924.0
Laikipia,2019,FEMALE,Secondary,4330.0
Murang'a,2010,male,S,8010.0
Tharaka-Nithi,2018,F,P,6801.0
Siaya,2012,Female,SECONDARY,4846.0
Taita Taveta,2020,FEMALE,primary,6731.0
Kajiado,2014,Female,Primary,7241.0
West Pokot,2012,FEMALE,Secondary,953.0
Murang'a,2011,Male,primary,2539.0
Makueni,2012,Male,primary,7056.0
Embu,2011,Male,S,1542.0
Nyeri,2021,M,Primary,5293.0
Migori,2017,F,Primary,1191.0
Vihiga,2015,Male,Secondary,6313.0
Tharaka-Nithi,2019,FEMALE,Secondary,6938.0
Kisumu,2016,F,SECONDARY,2681.0
Murang'a,2014,Female,primary,9409.0
Bungoma,2018,Male,Secondary,1540.0
Kiambu,2022,FEMALE,S,6172.0
Meru,2017,male,SECONDARY,5541.0
Kilifi,2012,Female,SECONDARY,9580.0
Kilifi,2010,FEMALE,P,1365.0
Kirinyaga,2015,FEMALE,Primary,8691.0
Bomet,2021,Male,Primary,9872.0
Kilifi,2015,male,primary,8702.0
Isiolo,2022,Female,P,7494.0
Turkana,2012,Male,S,
Wajir,2019,Female,primary,1324.0
Laikipia,2012,F,S,9347.0
Garissa,2017,M,SECONDARY,3141.0
Tana River,2014,FEMALE,Primary,7419.0
Wajir,2021,FEMALE,S,3486.0
Tana River,2015,Female,Primary,1810.0
Marsabit,2018,male,P,6588.0
West Pokot,2018,Female,P,2923.0
Embu,2011,male,primary,5301.0
Homa Bay,2017,M,SECONDARY,4186.0
Uasin Gishu,2012,Male,P,8905.0
Meru,2018,male,P,5977.0
Elgeyo Marakwet,2020,male,primary,
West Pokot,2021,Female,primary,4748.0
Kisumu,2012,Male,Secondary,4849.0
Samburu,2010,Female,SECONDARY,9435.0
Nakuru,2019,FEMALE,Secondary,3709.0
Marsabit,2011,F,primary,9273.0
Uasin Gishu,2019,F,SECONDARY,6619.0
Bungoma,2018,Male,Secondary,8647.0
Marsabit,two thousand twelve,male,P,9086.0
Embu,2020,M,Primary,9576.0
Machakos,2012,Female,Primary,3072.0
Garissa,2017,M,P,6530.0
Elgeyo Marakwet,2014,M,primary,504.0
Mandera,2022,M,primary,1214.0
Mombasa,2018,FEMALE,Primary,1531.0
Busia,2016,Male,Secondary,7576.0
Machakos,2011,Male,Secondary,823.0
Siaya,2013,FEMALE,S,928.0
Kilifi,2018,Male,Secondary,5029.0
West Pokot,2017,FEMALE,Primary,133.0
Murang'a,2019,Male,primary,
Kakamega,2013,FEMALE,Primary,3627.0
Nyeri,2011,M,P,6316.0
Siaya,2015,M,P,1852.0
Nairobi,2015,FEMALE,P,4910.0
Taita Taveta,2015,Female,primary,4175.0
Lamu,2011,M,SECONDARY,5348.0
Nairobi,2022,Female,P,9442.0
Kiambu,2021,male,P,6190.0
Turkana,2021,Male,S,
Nyeri,2021,F,SECONDARY,3376.0
Siaya,2020,male,S,5645.0
Siaya,2022,F,Primary,3486.0
Isiolo,2020,Female,primary,3584.0
Bungoma,2011,F,P,9588.0
Nyeri,2011,F,S,8053.0
Nakuru,2020,M,Secondary,3330.0
Wajir,2017,Female,P,2703.0
 ,two thousand twelve,FEMALE,SECONDARY,8662.0
Uasin Gishu,2011,FEMALE,primary,8120.0
Siaya,2022,male,S,7114.0
Siaya,2012,FEMALE,primary,1353.0
Lamu,2016,male,primary,5063.0
Narok,2011,FEMALE,primary,8549.0
Narok,2011,Female,P,7575.0
Tharaka-Nithi,2012,FEMALE,Secondary,667.0
Tharaka-Nithi,2013,M,P,4468.0
Mombasa,2010,FEMALE,P,9337.0
Embu,2011,F,primary,6819.0
Kitui,2020,Female,SECONDARY,3719.0
Bungoma,2013,Female,P,
Nyandarua,2017,FEMALE,SECONDARY,7483.0
Taita Taveta,2013,FEMALE,Secondary,539.0
Siaya,2011,FEMALE,primary,4964.0
Wajir,2020,Female,primary,4835.0
Bomet,2022,M,primary,3775.0
Kiambu,2021,Male,Secondary,6042.0
Nyandarua,2022,F,Primary,7102.0
Narok,2011,Male,primary,7312.0
Mombasa,2022,F,Secondary,5320.0
Lamu,2018,Male,Primary,6132.0
Bomet,2010,Female,Primary,7891.0
Nakuru,2019,male,P,2779.0
Wajir,2018,F,S,924.0
Busia,2021,F,primary,1581.0
Kirinyaga,2017,M,Secondary,7714.0
Tana River,2018,FEMALE,Secondary,3324.0
Elgeyo Marakwet,2021,F,primary,5713.0
Embu,2021,F,P,7026.0
Uasin Gishu,2021,FEMALE,P,255.0
Bungoma,2017,male,primary,4804.0
Busia,2012,F,S,1838.0
Bungoma,2010,Female,Primary,9.0
Migori,2012,Female,S,2871.0
Kilifi,2015,male,Primary,8989.0
Nyandarua,2022,M,SECONDARY,7409.0
Kirinyaga,2013,male,SECONDARY,7418.0
Elgeyo Marakwet,2012,F,P,5124.0
Tana River,2014,FEMALE,SECONDARY,1015.0
Vihiga,2014,Female,P,2193.0
Garissa,2015,F,P,8415.0
Isiolo,2016,Female,Secondary,7449.0
Kisumu,2021,male,SECONDARY,
Samburu,2012,FEMALE,Secondary,3925.0
Lamu,2017,Female,P,6970.0
Kiambu,2017,F,SECONDARY,6938.0
Kisumu,2016,Female,S,4784.0
Tharaka-Nithi,2016,Female,S,4000.0
Murang'a,2013,M,SECONDARY,1633.0
Kajiado,2019,M,primary,7266.0
Meru,2017,FEMALE,P,8702.0
Nyeri,2022,F,Primary,384.0
Busia,2021,Female,Secondary,404.0
Trans Nzoia,2016,F,P,8175.0
